,ActivePower(kW)
0,380.047790527343
1,453.76919555664
2,306.376586914062
3,419.645904541015
4,380.650695800781
5,402.391998291015
6,447.605712890625
7,387.2421875
8,463.651214599609
9,439.725708007812
10,498.181701660156
11,526.816223144531
12,710.587280273437
13,655.194274902343
14,754.762512207031
15,790.173278808593
16,742.985290527343
17,748.229614257812
18,736.647827148437
19,787.246215820312
20,722.864074707031
21,935.033386230468
22,1220.60900878906
23,1053.77197265625
24,1493.80798339843
25,1724.48803710937
26,1636.93505859375
27,1385.48803710937
28,1098.93200683593
29,1021.4580078125
30,1164.89294433593
31,1073.33203125
32,1165.30798339843
33,1177.98999023437
34,1170.53601074218
35,1145.53601074218
36,1114.02697753906
37,1153.18505859375
38,1125.3310546875
39,1228.73205566406
40,1021.79302978515
41,957.378173828125
42,909.887817382812
43,1000.95397949218
44,1024.47802734375
45,1009.53399658203
46,899.492980957031
47,725.110107421875
48,585.259399414062
49,443.913909912109
50,565.253784179687
51,644.037780761718
52,712.058898925781
53,737.394775390625
54,725.868103027343
55,408.997406005859
56,628.436828613281
57,716.1005859375
58,711.49560546875
59,838.151916503906
60,881.062072753906
61,663.703125
62,578.261596679687
63,465.620086669921
64,311.050903320312
65,230.05549621582
66,233.990600585937
67,175.592193603515
68,118.133102416992
69,142.202499389648
70,212.566192626953
71,222.610000610351
72,194.181198120117
73,82.6407470703125
74,75.8952178955078
75,41.9472389221191
76,118.534599304199
77,250.755905151367
78,346.86441040039
79,416.417907714843
80,331.941497802734
81,583.479919433593
82,776.552673339843
83,752.726379394531
84,589.073120117187
85,1109.12805175781
86,1482.4599609375
87,1523.43005371093
88,1572.17004394531
89,1698.93994140625
90,1616.84594726562
91,1796.82397460937
92,1885.86096191406
93,2327.51196289062
94,2499.162109375
95,2820.51293945312
96,2812.27905273437
97,2530.44702148437
98,2399.12109375
99,2335.587890625
100,2341.13305664062
101,2391.84790039062
102,2118.38989257812
103,1866.84594726562
104,1865.61901855468
105,1862.44799804687
106,1884.11901855468
107,1855.77697753906
108,1958.13305664062
109,2228.24291992187
110,2529.291015625
111,2788.25708007812
112,2692.92993164062
113,2535.35302734375
114,2584.6650390625
115,2960.18310546875
116,3062.97802734375
117,3024.39208984375
118,3187.97290039062
119,3387.22802734375
120,3209.01806640625
121,3272.6650390625
122,3209.69897460937
123,3134.51806640625
124,2977.82495117187
125,3431.77294921875
126,3604.2099609375
127,3601.32788085937
128,3604.42602539062
129,3604.39111328125
130,3604.337890625
131,3554.68798828125
132,3479.40795898437
133,3472.3330078125
134,3491.51098632812
135,3536.98901367187
136,3528.65893554687
137,3581.5400390625
138,3570.0791015625
139,3597.60400390625
140,3441.02587890625
141,3373.96997070312
142,3369.81298828125
143,3375.90307617187
144,3377.64990234375
145,3374.42309570312
146,3401.0810546875
147,3469.412109375
148,3511.80908203125
149,3536.75903320312
150,3467.80810546875
151,3460.67700195312
152,3589.44311523437
153,3527.71899414062
154,3561.26708984375
155,3604.06811523437
156,3604.17602539062
157,3593.20092773437
158,3493.82104492187
159,3470.70190429687
160,3436.61010742187
161,3401.455078125
162,3395.23291015625
163,3417.50390625
164,3465.10888671875
165,3467.41796875
166,3522.40698242187
167,3510.10791015625
168,3513.84497070312
169,3564.00805664062
170,3475.27807617187
171,3561.99096679687
172,3521.55493164062
173,3493.60791015625
174,3555.30493164062
175,3377.1279296875
176,3479.626953125
177,3539.11206054687
178,3430.43603515625
179,3301.91796875
180,3235.5439453125
181,3519.02294921875
182,3469.537109375
183,3296.18603515625
184,3045.51000976562
185,3444.74194335937
186,3417.74609375
187,2807.61303710937
188,2493.39306640625
189,3215.19604492187
190,3589.59008789062
191,3599.14990234375
192,3375.17700195312
193,3346.98095703125
194,3567.96704101562
195,3519.26489257812
196,3485.19189453125
197,3145.56298828125
198,2978.31005859375
199,3179.00805664062
200,3461.5810546875
201,3082.54907226562
202,3493.65795898437
203,3601.0458984375
204,3597.56494140625
205,3602.17211914062
206,3601.99291992187
207,3600.791015625
208,3590.75
209,3601.84594726562
210,3601.8701171875
211,3591.65502929687
212,3579.02490234375
213,3598.13110351562
214,3525.3330078125
215,3560.69995117187
216,3537.67602539062
217,3491.291015625
218,3530.76611328125
219,2915.83911132812
220,2178.65893554687
221,2244.412109375
222,1278.89501953125
223,2832.93408203125
224,3205.97290039062
225,3149.28491210937
226,3273.65600585937
227,3114.09912109375
228,3111.06005859375
229,3361.01196289062
230,3421.419921875
231,3520.14892578125
232,3589.42700195312
233,3495.11596679687
234,3298.76196289062
235,2894.44091796875
236,3486.62890625
237,3455.2470703125
238,3556.78588867187
239,3375.58203125
240,3493.97900390625
241,3549.14794921875
242,3483.31591796875
243,3589.85888671875
244,3584.23510742187
245,3599.00805664062
246,3602.63793945312
247,3550.56396484375
248,3552.78295898437
249,3585.01098632812
250,3421.17602539062
251,3406.0400390625
252,3515.61010742187
253,3515.96508789062
254,3475.4189453125
255,3471.15698242187
256,3281.7548828125
257,2955.11499023437
258,3061.73510742187
259,2679.11010742187
260,2721.0810546875
261,2649.13696289062
262,2707.74291992187
263,2508.83203125
264,2316.64794921875
265,3081.54296875
266,3397.63891601562
267,3391.71606445312
268,3587.51098632812
269,3603.11206054687
270,3591.09301757812
271,3221.044921875
272,2887.73388671875
273,2364.53491210937
274,1935.84704589843
275,1549.48095703125
276,1625.75598144531
277,1994.22204589843
278,2362.0
279,2097.77197265625
280,1564.59094238281
281,1107.47497558593
282,1303.11694335937
283,1561.18200683593
284,1544.9990234375
285,1456.73803710937
286,1795.64404296875
287,2773.291015625
288,2782.56811523437
289,2446.42407226562
290,3412.39208984375
291,3255.337890625
292,2796.876953125
293,2467.9541015625
294,1278.88696289062
295,1042.53796386718
296,609.076171875
297,175.440704345703
298,112.110900878906
299,271.917114257812
300,737.448791503906
301,1375.57995605468
302,1520.89001464843
303,1349.11206054687
304,889.129821777343
305,412.115509033203
306,444.603607177734
307,655.730712890625
308,882.5654296875
309,998.384582519531
310,1193.39599609375
311,1122.71203613281
312,1214.1259765625
313,1086.30700683593
314,1060.60302734375
315,1451.71398925781
316,1361.4599609375
317,1490.56994628906
318,1153.13903808593
319,953.976013183593
320,799.085693359375
321,616.254821777343
322,646.924499511718
323,1323.68200683593
324,1568.88598632812
325,1580.90295410156
326,1495.18005371093
327,2063.86889648437
328,2368.76000976562
329,2516.419921875
330,2108.77099609375
331,2568.11108398437
332,3445.21997070312
333,2994.10693359375
334,2594.93701171875
335,2326.82592773437
336,1941.46398925781
337,1581.48706054687
338,1013.28698730468
339,375.617614746093
340,198.15119934082
341,87.4404525756835
342,189.137802124023
343,434.43179321289
344,336.500793457031
345,296.610107421875
346,92.9240036010742
347,85.7023010253906
348,309.511413574218
349,381.172607421875
350,417.266296386718
351,446.343811035156
352,206.602096557617
353,251.375701904296
354,275.013610839843
355,314.2744140625
356,238.782302856445
357,409.026489257812
358,506.470306396484
359,427.95669555664
360,952.267578125
361,1019.90502929687
362,1015.3579711914
363,979.722900390625
364,379.407897949218
365,841.597778320312
366,672.618774414062
367,452.07861328125
368,558.997924804687
369,331.719299316406
370,212.100692749023
371,79.7210235595703
372,183.012802124023
373,279.196014404296
374,460.216613769531
375,647.711120605468
376,685.078002929687
377,709.833984375
378,493.355590820312
379,366.079315185546
380,183.037902832031
381,7.34767913818359
382,0.0
383,12.3442001342773
384,-0.393067598342896
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,65.9879074096679
392,157.849502563476
393,50.4220504760742
394,88.1881484985351
395,242.313293457031
396,262.80191040039
397,584.667114257812
398,298.586791992187
399,279.772491455078
400,823.479614257812
401,883.265625
402,1155.17395019531
403,1400.38903808593
404,1205.10498046875
405,1292.05102539062
406,1856.17700195312
407,1928.17504882812
408,1604.42700195312
409,1599.99597167968
410,1456.09497070312
411,1386.623046875
412,1460.36096191406
413,1894.79504394531
414,1760.42297363281
415,2010.97705078125
416,1828.81604003906
417,1960.69299316406
418,1900.44799804687
419,1549.9580078125
420,1692.68896484375
421,1931.083984375
422,2060.14794921875
423,2069.625
424,2037.26696777343
425,1594.84594726562
426,994.582702636718
427,1137.28503417968
428,1267.85803222656
429,1002.46301269531
430,1172.34802246093
431,1252.13903808593
432,1121.1669921875
433,1183.02099609375
434,932.308410644531
435,989.507690429687
436,750.551025390625
437,825.766174316406
438,1116.48706054687
439,986.759887695312
440,1018.14501953125
441,659.177795410156
442,729.487426757812
443,864.502624511718
444,1342.23901367187
445,1279.09802246093
446,1351.39196777343
447,1039.72705078125
448,876.0166015625
449,754.007995605468
450,1122.3349609375
451,907.796569824218
452,1009.73699951171
453,1806.98999023437
454,2374.84399414062
455,1779.208984375
456,1334.98095703125
457,1562.94702148437
458,1562.11694335937
459,1464.97705078125
460,1312.35803222656
461,767.036987304687
462,283.259307861328
463,687.107177734375
464,465.753601074218
465,355.622009277343
466,467.8251953125
467,865.346984863281
468,1512.97204589843
469,1491.69897460937
470,2004.44104003906
471,1581.48303222656
472,1431.62097167968
473,1523.79296875
474,1693.27099609375
475,1775.03796386718
476,1875.41003417968
477,1558.05798339843
478,1811.08898925781
479,1686.1259765625
480,2362.26293945312
481,2000.86499023437
482,1169.96496582031
483,1309.22399902343
484,759.014526367187
485,498.190307617187
486,332.48208618164
487,253.584503173828
488,180.412292480468
489,258.365692138671
490,133.005294799804
491,0.0
492,0.0
493,0.0
494,0.0
495,0.0
496,0.0
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,210.719497680664
511,338.650085449218
512,518.551818847656
513,504.067687988281
514,446.733001708984
515,705.704528808593
516,795.31689453125
517,1012.67602539062
518,1240.82397460937
519,1282.07495117187
520,941.5869140625
521,590.836669921875
522,650.562927246093
523,871.51123046875
524,914.121215820312
525,835.841979980468
526,624.990600585937
527,591.955871582031
528,509.349090576171
529,1190.81604003906
530,963.732482910156
531,980.97607421875
532,777.847900390625
533,980.223876953125
534,962.43017578125
535,462.769897460937
536,1139.24096679687
537,1418.63195800781
538,1716.13903808593
539,1312.791015625
540,1222.02099609375
541,703.722106933593
542,470.801208496093
543,387.340209960937
544,402.474792480468
545,460.291198730468
546,619.872375488281
547,470.200103759765
548,691.014099121093
549,826.995178222656
550,892.424377441406
551,907.188415527343
552,545.265319824218
553,688.835815429687
554,591.908874511718
555,660.694274902343
556,747.407470703125
557,1174.24304199218
558,873.481018066406
559,845.205017089843
560,837.063720703125
561,949.494323730468
562,1045.36499023437
563,791.083618164062
